Month,Borough,Community District (CD),Borough Consultation Total SNAP Recipients,Borough Consultation Total SNAP Households,Borough Consultation Total Cash Assistance Recipients,Borough Consultation Total Cash Assistance Cases,Borough Consultation Total Medicaid Only Enrollees,Borough Consultation Total Medicaid Enrollees
09/01/2018,Bronx,B01,"45,575","23,980","13,357","6,883","15,229","38,812"
09/01/2018,Bronx,B02,"22,974","12,277","7,043","3,476","7,001","19,231"
09/01/2018,Bronx,B03,"42,384","22,379","12,901","6,632","12,512","34,441"
09/01/2018,Bronx,B04,"59,231","32,012","16,904","8,323","21,856","51,012"
09/01/2018,Bronx,B05,"58,005","30,913","17,268","8,783","19,378","47,884"
09/01/2018,Bronx,B06,"39,784","20,964","14,218","6,801","11,148","33,520"
09/01/2018,Bronx,B07,"48,003","26,293","13,064","6,698","19,347","43,054"
09/01/2018,Bronx,B08,"16,716","9,851","3,230","1,678","8,876","16,919"
09/01/2018,Bronx,B09,"54,113","29,193","13,743","6,718","22,259","48,762"
09/01/2018,Bronx,B10,"17,627","10,637","3,595","1,866","9,302","17,799"
09/01/2018,Bronx,B11,"24,271","13,877","5,708","3,069","12,857","25,627"
09/01/2018,Bronx,B12,"37,611","20,363","12,538","6,186","16,525","37,643"
09/01/2018,Brooklyn,K01,"52,715","20,495","6,632","2,519","32,525","47,250"
09/01/2018,Brooklyn,K02,"13,791","9,070","2,973","1,904","6,873","13,308"
09/01/2018,Brooklyn,K03,"45,971","24,357","10,083","5,217","19,812","38,305"
09/01/2018,Brooklyn,K04,"26,548","15,640","4,563","2,478","14,462","25,036"
09/01/2018,Brooklyn,K05,"63,518","35,199","14,169","7,332","25,539","51,870"
09/01/2018,Brooklyn,K06,"9,973","6,431","1,818","1,091","5,389","10,067"
09/01/2018,Brooklyn,K07,"23,563","13,326","3,210","1,884","22,773","31,629"
09/01/2018,Brooklyn,K08,"21,624","13,495","5,359","3,139","10,221","20,137"
09/01/2018,Brooklyn,K09,"21,469","12,636","4,052","2,373","13,465","21,855"
09/01/2018,Brooklyn,K10,"17,422","9,843","1,748","1,163","16,297","22,843"
09/01/2018,Brooklyn,K11,"38,010","21,758","3,176","1,912","29,835","44,645"
09/01/2018,Brooklyn,K12,"63,664","20,755","10,144","2,490","45,381","63,581"
09/01/2018,Brooklyn,K13,"33,044","21,261","4,735","2,367","15,232","32,854"
09/01/2018,Brooklyn,K14,"33,345","18,925","4,552","2,611","22,522","35,344"
